$Outflow file for Wangjiaba,,
,,
JDAY,QWD,
311.000,227.000,
312.000,431.000,
313.000,525.000,
314.000,510.000,
315.000,452.000,
316.000,457.000,
317.000,411.000,
318.000,308.000,
319.000,231.000,
320.000,192.000,
321.000,169.000,
322.000,147.000,
323.000,133.000,
324.000,124.000,
325.000,118.000,
326.000,128.000,
327.000,145.000,
328.000,132.000,
329.000,137.000,
330.000,155.000,
331.000,169.000,
332.000,177.000,
333.000,223.000,
334.000,271.000,
335.000,247.000,
336.000,191.000,
337.000,142.000,
338.000,123.000,
339.000,108.000,
340.000,98.100,
341.000,105.000,
342.000,116.000,
343.000,97.700,
344.000,85.600,
345.000,78.700,
346.000,75.000,
347.000,70.800,
348.000,67.700,
349.000,64.000,
350.000,60.800,
351.000,59.800,
352.000,59.800,
353.000,59.800,
354.000,58.700,
355.000,56.600,
356.000,54.900,
357.000,55.000,
358.000,52.200,
359.000,48.600,
360.000,47.900,
361.000,45.700,
362.000,63.700,
363.000,102.000,
364.000,82.400,
365.000,61.200,
